#p01    #fam01  #n01    #color01
16549   1       551     4
16559   1       551     5
16583   1       552     6
16597   1       553     7
16783   1       559     8
16807   1       560     1
16841   1       561     2
16847   1       561     3
17017   1       567     4
17119   1       570     5
17171   1       572     6
17173   1       572     7
17227   1       574     8
17273   1       575     1
17357   1       578     2
17429   1       580     3
17437   1       581     4
17501   1       583     5
17563   1       585     6
17647   1       588     7
17689   1       589     8
17831   1       594     1
17857   1       595     2
17867   1       595     3
17953   1       598     4
17963   1       598     5
18067   1       602     6
18161   1       605     7
18259   1       608     8
18277   1       609     1
18299   1       609     2
18343   1       611     3
18377   1       612     4
18487   1       616     5
18491   1       616     6
18653   1       621     7
18697   1       623     8
18733   1       624     1
18821   1       627     2
18829   1       627     3
18887   1       629     4
18907   1       630     5
19117   1       637     6
19123   1       637     7
19151   1       638     8
19169   1       638     1
19327   1       644     2
19343   1       644     3
19397   1       646     4
19399   1       646     5
19481   1       649     6
19513   1       650     7
19537   1       651     8
19747   1       658     1
19811   1       660     2
19903   1       663     3
19907   1       663     4
19957   1       665     5
19969   1       665     6
20033   1       667     7
20039   1       667     8
20141   1       671     1
20167   1       672     2
20293   1       676     3
20377   1       679     4
20417   1       680     5
20471   1       682     6
20539   1       684     7
20587   1       686     8
20683   1       689     1
20723   1       690     2
20797   1       693     3
20801   1       693     4
20909   1       696     5
20927   1       697     6
21007   1       700     7
21073   1       702     8
21109   1       703     1
21131   1       704     2
21217   1       707     3
21413   1       713     4
21427   1       714     5
21437   1       714     6
21461   1       715     7
21463   1       715     8
21637   1       721     1
21679   1       722     2
21779   1       725     3
21791   1       726     4
21847   1       728     5
21853   1       728     6
21947   1       731     7
22057   1       735     8
22103   1       736     1
22121   1       737     2
22243   1       741     3
22249   1       741     4
22267   1       742     5
22451   1       748     6
22457   1       748     7
22477   1       749     8
22633   1       754     1
22649   1       754     2
22687   1       756     3
22781   1       759     4
22793   1       759     5
22819   1       760     6
22897   1       763     7
22967   1       765     8
23023   1       767     1
23107   1       770     2
23111   1       770     3
23317   1       777     4
23389   1       779     5
23413   1       780     6
23441   1       781     7
23477   1       782     8
23483   1       782     1
23519   1       783     2
23527   1       784     3
23737   1       791     4
23771   1       792     5
23803   1       793     6
23947   1       798     7
23959   1       798     8
23987   1       799     1
24101   1       803     2
24157   1       805     3
24173   1       805     4
24193   1       806     5
24367   1       812     6
24389   1       812     7
24431   1       814     8
24497   1       816     1
24529   1       817     2
24577   1       819     3
24583   1       819     4
24761   1       825     5
24787   1       826     6
24863   1       828     7
24973   1       832     8
24997   1       833     1
25007   1       833     2
25091   1       836     3
25099   1       836     4
25207   1       840     5
25259   1       841     6
25363   1       845     7
25417   1       847     8
25421   1       847     1
25517   1       850     2
25553   1       851     3
25627   1       854     4
25669   1       855     5
25751   1       858     6
25753   1       858     7
25837   1       861     8
26027   1       867     1
26047   1       868     2
26081   1       869     3
26129   1       870     4
26143   1       871     5
26239   1       874     6
26243   1       874     7
26257   1       875     8
26411   1       880     1
26467   1       882     2
26533   1       884     3
26537   1       884     4
26677   1       889     5
26741   1       891     6
26809   1       893     7
26887   1       896     8
26923   1       897     1
26933   1       897     2
26999   1       899     3
27047   1       901     4
27071   1       902     5
27097   1       903     6
27307   1       910     7
27313   1       910     8
27379   1       912     1
27401   1       913     2
27517   1       917     3
27557   1       918     4
27623   1       920     5
27703   1       923     6
27727   1       924     7
27731   1       924     8
27869   1       928     1
27937   1       931     2
27949   1       931     3
28061   1       935     4
28067   1       935     5
28093   1       936     6
28147   1       938     7
28313   1       943     8
28357   1       945     1
28391   1       946     2
28483   1       949     3
28519   1       950     4
28567   1       952     5
28577   1       952     6
28721   1       957     7
28739   1       957     8
28777   1       959     1
28873   1       962     2
28987   1       966     3
29003   1       966     4
29051   1       968     5
29087   1       969     6
29089   1       969     7
29197   1       973     8
29263   1       975     1
29381   1       979     2
29407   1       980     3
29597   1       986     4
29609   1       986     5
29617   1       987     6
29653   1       988     7
29659   1       988     8
29693   1       989     1
29711   1       990     2
29827   1       994     3
30037   1       1001    4
30041   1       1001    5
30043   1       1001    6
30107   1       1003    7
30229   1       1007    8
30247   1       1008    1
30371   1       1012    2
30383   1       1012    3
30433   1       1014    4
30457   1       1015    5
30479   1       1015    6
30617   1       1020    7
30667   1       1022    8
30701   1       1023    1
30799   1       1026    2
30823   1       1027    3
30877   1       1029    4
31031   1       1034    5
31073   1       1035    6
31087   1       1036    7
31127   1       1037    8
31213   1       1040    1
31297   1       1043    2
31349   1       1044    3
31361   1       1045    4
31369   1       1045    5
31507   1       1050    6
31603   1       1053    7
31637   1       1054    8
31691   1       1056    1
31717   1       1057    2
31763   1       1058    3
31927   1       1064    4
31939   1       1064    5
31993   1       1066    6
32021   1       1067    7
32137   1       1071    8
32147   1       1071    1
32219   1       1073    2
32347   1       1078    3
32351   1       1078    4
32383   1       1079    5
32453   1       1081    6
32509   1       1083    7
32557   1       1085    8
32657   1       1088    1
32681   1       1089    2
32767   1       1092    3
32773   1       1092    4
32977   1       1099    5
33011   1       1100    6
33079   1       1102    7
33089   1       1102    8
33143   1       1104    1
33163   1       1105    2
33167   1       1105    3
33187   1       1106    4
33341   1       1111    5
33397   1       1113    6
33553   1       1118    7
33607   1       1120    8
33649   1       1121    1
33671   1       1122    2
33677   1       1122    3
33817   1       1127    4
33833   1       1127    5
33943   1       1131    6
33959   1       1131    7
34001   1       1133    8
34027   1       1134    1
34187   1       1139    2
34219   1       1140    3
34237   1       1141    4
34331   1       1144    5
34333   1       1144    6
34447   1       1148    7
34523   1       1150    8
34657   1       1155    1
34661   1       1155    2
34697   1       1156    3
34723   1       1157    4
34789   1       1159    5
34829   1       1160    6
34867   1       1162    7
34991   1       1166    8
35077   1       1169    1
35113   1       1170    2
35207   1       1173    3
35213   1       1173    4
35287   1       1176    5
35321   1       1177    6
35359   1       1178    7
35497   1       1183    8
35503   1       1183    1
35651   1       1188    2
