#z      #x      #y      c
18      11      18      18
18      12      6       18
18      13      24      18
18      14      12      18
18      15      00      18
18      15      30      18
18      16      18      18
18      17      6       18
18      18      24      18
18      19      12      18
18      20      00      18
18      20      30      18
18      21      18      18
18      22      6       18
18      23      24      18
18      24      12      18
18      25      00      18
18      25      30      18
18      26      18      18
18      27      6       18
18      28      24      18
18      29      12      18
18      30      00      18
18      30      30      18


#z      #x      #y      #c
19      0       0       19
19      1       19      19
19      2       8       19
19      3       27      19
19      4       16      19
19      5       5       19
19      6       24      19
19      7       13      19
19      8       2       19
19      9       21      19
19      10      10      19
19      11      29      19
19      12      18      19
19      13      7       19
19      14      26      19
19      15      15      19
19      16      4       19
19      17      23      19
19      18      12      19
19      19      1       19
19      20      20      19
19      21      9       19
19      22      28      19
19      23      17      19
19      24      6       19
19      25      25      19
19      26      14      19
19      27      3       19
19      28      22      19
19      29      11      19
19      30      00      19
19      30      30      19



#z      #x      #y      #c
20      0       0       20
20      1       20      20
20      2       10      20
20      3       00      20
20      3       30      20
20      4       20      20
20      5       10      20
20      6       00      20
20      6       30      20
20      7       20      20
20      8       10      20
20      9       00      20
20      9       30      20
20      10      20      20
20      11      10      20
20      12      00      20
20      12      30      20
20      13      20      20
20      14      10      20
20      15      00      20
20      15      30      20
20      16      20      20
20      17      10      20
20      18      00      20
20      18      30      20
20      19      20      20
20      20      10      20
20      21      00      20
20      21      30      20
20      22      20      20
20      23      10      20
20      24      00      20
20      24      30      20
20      25      20      20
20      26      10      20
20      27      00      20
20      27      30      20
20      28      20      20
20      29      10      20
20      30      00      20
20      30      30      20



#z      #x      #y      #c
21      0       0       21
21      1       21      21
21      2       12      21
21      3       3       21
21      4       24      21
21      5       15      21
21      6       6       21
21      7       27      21
21      8       18      21
21      9       9       21
21      10      00      21
21      10      30      21
21      11      21      21
21      12      12      21
21      13      3       21
21      14      24      21
21      15      15      21
21      16      6       21
21      17      27      21
21      18      18      21
21      19      9       21
21      20      00      21
21      20      30      21
21      21      21      21
21      22      12      21
21      23      3       21
21      24      24      21
21      25      15      21
21      26      6       21
21      27      27      21
21      28      18      21
21      29      9       21
21      30      00      21
21      30      30      21



#z      #x      #y      #c
22      0       0       22
22      1       22      22
22      2       14      22
22      3       6       22
22      4       28      22
22      5       20      22
22      6       12      22
22      7       4       22
22      8       26      22
22      9       18      22
22      10      10      22
22      11      2       22
22      12      24      22
22      13      16      22
22      14      8       22
22      15      00      22
22      15      30      22
22      16      22      22
22      17      14      22
22      18      6       22
22      19      28      22
22      20      20      22
22      21      12      22
22      22      4       22
22      23      26      22
22      24      18      22
22      25      10      22
22      26      2       22
22      27      24      22
22      28      16      22
22      29      8       22
22      30      00      22
22      30      30      22


#z      #x      #y      #c
23      0       0       23
23      1       23      23
23      2       16      23
23      3       9       23
23      4       2       23
23      5       25      23
23      6       18      23
23      7       11      23
23      8       4       23
23      9       27      23
23      10      20      23
23      11      13      23
23      12      6       23
23      13      29      23
23      14      22      23
23      15      15      23
23      16      8       23
23      17      1       23
23      18      24      23
23      19      17      23
23      20      10      23
23      21      3       23
23      22      26      23
23      23      19      23
23      24      12      23
23      25      5       23
23      26      28      23
23      27      21      23
23      28      14      23
23      29      7       23
23      30      00      23
23      30      30      23


#z      #x      #y      #c
24      0       0       24
24      1       24      24
24      2       18      24
24      3       12      24
24      4       6       24
24      5       00      24
24      5       30      24
24      6       24      24
24      7       18      24
24      8       12      24
24      9       6       24
24      10      00      24
24      10      30      24
24      11      24      24
24      12      18      24
24      13      12      24
24      14      6       24
24      15      00      24
24      15      30      24
24      16      24      24
24      17      18      24
24      18      12      24
24      19      6       24
24      20      00      24
24      20      30      24
24      21      24      24
24      22      18      24
24      23      12      24
24      24      6       24
24      25      00      24
24      25      30      24
24      26      24      24
24      27      18      24
24      28      12      24
24      29      6       24
24      30      00      24
24      30      30      24


#z      #x      #y      #c
25      0       0       25
25      1       25      25
25      2       20      25
25      3       15      25
25      4       10      25
25      5       5       25
25      6       00      25
25      6       30      25
25      7       25      25
25      8       20      25
25      9       15      25
25      10      10      25
25      11      5       25
25      12      00      25
25      12      30      25
25      13      25      25
25      14      20      25
25      15      15      25
25      16      10      25
25      17      5       25
25      18      00      25
25      18      30      25
25      19      25      25
25      20      20      25
25      21      15      25
25      22      10      25
25      23      5       25
25      24      00      25
25      24      30      25
25      25      25      25
25      26      20      25
25      27      15      25
25      28      10      25
25      29      5       25
25      30      00      25
25      30      30      25


#z      #x      #y      #c
26      0       0       26
26      1       26      26
26      2       22      26
26      3       18      26
26      4       14      26
26      5       10      26
26      6       6       26
26      7       2       26
26      8       28      26
26      9       24      26
26      10      20      26
26      11      16      26
26      12      12      26
26      13      8       26
26      14      4       26
26      15      00      26
26      15      30      26
26      16      26      26
26      17      22      26
26      18      18      26
26      19      14      26
26      20      10      26
26      21      6       26
26      22      2       26
26      23      28      26
26      24      24      26
26      25      20      26
26      26      16      26
26      27      12      26
26      28      8       26
26      29      4       26
26      30      00      26
26      30      30      26


#z      #x      #y      #c
27      0       0       27
27      1       27      27
27      2       24      27
27      3       21      27
27      4       18      27
27      5       15      27
27      6       12      27
27      7       9       27
27      8       6       27
27      9       3       27
27      10      00      27
27      10      30      27
27      11      27      27
27      12      24      27
27      13      21      27
27      14      18      27
27      15      15      27
27      16      12      27
27      17      9       27
27      18      6       27
27      19      3       27
27      20      00      27
27      20      30      27
27      21      27      27
27      22      24      27
27      23      21      27
27      24      18      27
27      25      15      27
27      26      12      27
27      27      9       27
27      28      6       27
27      29      3       27
27      30      00      27
27      30      30      27


#z      #x      #y      #c
28      0       0       28
28      1       28      28
28      2       26      28
28      3       24      28
28      4       22      28
28      5       20      28
28      6       18      28
28      7       16      28
28      8       14      28
28      9       12      28
28      10      10      28
28      11      8       28
28      12      6       28
28      13      4       28
28      14      2       28
28      15      00      28
28      15      30      28
28      16      28      28
28      17      26      28
28      18      24      28
28      19      22      28
28      20      20      28
28      21      18      28
28      22      16      28
28      23      14      28
28      24      12      28
28      25      10      28
28      26      8       28
28      27      6       28
28      28      4       28
28      29      2       28
28      30      00      28
28      30      30      28


#z      #x      #y      #c
29      0       0       29
29      1       29      29
29      2       28      29
29      3       27      29
29      4       26      29
29      5       25      29
29      6       24      29
29      7       23      29
29      8       22      29
29      9       21      29
29      10      20      29
29      11      19      29
29      12      18      29
29      13      17      29
29      14      16      29
29      15      15      29
29      16      14      29
29      17      13      29
29      18      12      29
29      19      11      29
29      20      10      29
29      21      9       29
29      22      8       29
29      23      7       29
29      24      6       29
29      25      5       29
29      26      4       29
29      27      3       29
29      28      2       29
29      29      1       29
29      30      0       29


#z      #x      #y      #c
30       0      00      30
30       0      00      30
30       1      00      30
30       1      30      30
30       2      00      30
30       2      30      30
30       3      00      30
30       3      30      30
30       4      00      30
30       4      30      30
30       5      00      30
30       5      30      30
30       6      00      30
30       6      30      30
30       7      00      30
30       7      30      30
30       8      00      30
30       8      30      30
30       9      00      30
30       9      30      30
30      10      00      30
30      10      30      30
30      11      00      30
30      11      30      30
30      12      00      30
30      12      30      30
30      13      00      30
30      13      30      30
30      14      00      30
30      14      30      30
30      15      00      30
30      15      30      30
30      16      00      30
30      16      30      30
30      17      00      30
30      17      30      30
30      18      00      30
30      18      30      30
30      19      00      30
30      19      30      30
30      20      00      30
30      20      30      30
30      21      00      30
30      21      30      30
30      22      00      30
30      22      30      30
30      23      00      30
30      23      30      30
30      24      00      30
30      24      30      30
30      25      00      30
30      25      30      30
30      26      00      30
30      26      30      30
30      27      00      30
30      27      30      30
30      28      00      30
30      28      30      30
30      29      00      30
30      29      30      30
30      30      00      30
30      30      30      30
