 #z      #x      #y      #c
 6       8       18      30
 6       9       24      30
 6       10      30      30
 6       11      6       30
 6       12      12      30
 6       13      18      30
 6       14      24      30
 6       15      0       30
 6       15      30      30
 6       16      6       30
 6       17      12      30
 6       18      18      30
 6       19      24      30
 6       20      0       30
 6       20      30      30
 6       21      6       30
 6       22      12      30
 6       23      18      30
 6       24      24      30
 6       25      0       30
 6       25      30      30
 6       26      6       30
 6       27      12      30
 6       28      18      30
 6       29      24      30
 6       30      0       30
 6       30      00      30
 6       30      30      30
 #z      #x      #y      #c
 8       0       0       30
 8       1       8       30
 8       2       16      30
 8       3       24      30
 8       4       2       30
 8       5       10      30
 8       6       18      30
 8       7       26      30
 8       8       4       30
 8       9       12      30
 8       10      20      30
 8       11      28      30
 8       12      6       30
 8       13      14      30
 8       14      22      30
 8       15      0       30
 8       15      30      30
 8       16      8       30
 8       17      16      30
 8       18      24      30
 8       19      2       30
 8       20      10      30
 8       21      18      30
 8       22      26      30
 8       23      4       30
 8       24      12      30
 8       25      20      30
 8       26      28      30
 8       27      6       30
 8       28      14      30
 8       29      22      30
 8       30      0       30
 8       30      00      30
 8       30      30      30
 #z      #x      #y      #c
 9       0       0       30
 9       1       9       30
 9       2       18      30
 9       3       27      30
 9       4       6       30
 9       5       15      30
 9       6       24      30
 9       7       3       30
 9       8       12      30
 9       9       21      30
 9       10      0       30
 9       10      30      30
 9       11      9       30
 9       12      18      30
 9       13      27      30
 9       14      6       30
 9       15      15      30
 9       16      24      30
 9       17      3       30
 9       18      12      30
 9       19      21      30
 9       20      0       30
 9       20      30      30
 9       21      9       30
 9       22      18      30
 9       23      27      30
 9       24      6       30
 9       25      15      30
 9       26      24      30
 9       27      3       30
 9       28      12      30
 9       29      21      30
 9       30      0       30
 9       30      00      30
 9       30      30      30
 #z      #x      #y      #c
 10      0       0       30
 10      1       10      30
 10      2       20      30
 10      3       0       30
 10      3       30      30
 10      4       10      30
 10      5       20      30
 10      6       0       30
 10      6       30      30
 10      7       10      30
 10      8       20      30
 10      9       0       30
 10      9       30      30
 10      10      10      30
 10      11      20      30
 10      12      0       30
 10      12      30      30
 10      13      10      30
 10      14      20      30
 10      15      0       30
 10      15      30      30
 10      16      10      30
 10      17      20      30
 10      18      0       30
 10      18      30      30
 10      19      10      30
 10      20      20      30
 10      21      0       30
 10      21      30      30
 10      22      10      30
 10      23      20      30
 10      24      0       30
 10      24      30      30
 10      25      10      30
 10      26      20      30
 10      27      0       30
 10      27      30      30
 10      28      10      30
 10      29      20      30
 10      30      0       30
 10      30      00      30
 10      30      30      30
 #z      #x      #y      #c
 12      0       0       30
 12      1       12      30
 12      2       24      30
 12      3       6       30
 12      4       18      30
 12      5       00      30
 12      5       30      30
 12      6       12      30
 12      7       24      30
 12      8       6       30
 12      9       18      30
 12      10      00      30
 12      10      30      30
 12      11      12      30
 12      12      24      30
 12      13      6       30
 12      14      18      30
 12      15      00      30
 12      15      30      30
 12      16      12      30
 12      17      24      30
 12      18      6       30
 12      19      18      30
 12      20      00      30
 12      20      30      30
 12      21      12      30
 12      22      24      30
 12      23      6       30
 12      24      18      30
 12      25      00      30
 12      25      30      30
 12      26      12      30
