#z      #x      #y     000
4       0       0      000
4       1       4      000
4       2       8      000
4       3       12     000
4       4       16     000
4       5       20     000
4       6       24     000
4       7       28     000
4       8       2      000
4       9       6      000
4       10      10     000
4       11      14     000
4       12      18     000
4       13      22     000
4       14      26     000
4       15      0      000
4       15      30     000
4       16      4      000
4       17      8      000
4       18      12     000
4       19      16     000
4       20      20     000
4       21      24     000
4       22      28     000
4       23      2      000
4       24      6      000
4       25      10     000
4       26      14     000
4       27      18     000
4       28      22     000
4       29      26     000
4       30      0      000
4       30      30     000

#z      #x      #y     000
5       0       0      000
5       30      0      000
5       1       5      000
5       2       10     000
5       3       15     000
5       4       20     000
5       5       25     000
5       6       0      000
5       6       30     000
5       7       0      000
5       8       5      000
5       9       10     000
5       10      15     000
5       11      20     000
5       12      25     000
5       13      0      000
5       13      30     000
5       14      0      000
5       15      5      000
5       16      10     000
5       17      15     000
5       18      20     000
5       19      25     000
5       20      0      000
5       20      30     000
5       21      0      000
5       22      5      000
5       23      10     000
5       24      15     000
5       25      20     000
5       26      25     000
5       27      0      000
5       27      30     000
5       28      0      000
5       29      5      000
5       30      10     000
5       30      30     000

#z      #x      #y     000
6       0       0      000
6       1       6      000
6       2       12     000
6       3       18     000
6       4       24     000
6       5       0      000
6       5       30     000
6       6       6      000
6       7       12     000
6       8       18     000
6       9       24     000
6       10      30     000
6       11      6      000
6       12      12     000
6       13      18     000
6       14      24     000
6       15      0      000
6       15      30     000
6       16      6      000
6       17      12     000
6       18      18     000
6       19      24     000
6       20      0      000
6       20      30     000
6       21      6      000
6       22      12     000
6       23      18     000
6       24      24     000
6       25      0      000
6       25      30     000
6       26      6      000
6       27      12     000
6       28      18     000
6       29      24     000
6       30      0      000
6       30      30     000

#z      #x      #y     000
8       0       0      000
8       1       8      000
8       2       16     000
8       3       24     000
8       4       2      000
8       5       10     000
8       6       18     000
8       7       26     000
8       8       4      000
8       9       12     000
8       10      20     000
8       11      28     000
8       12      6      000
8       13      14     000
8       14      22     000
8       15      0      000
8       15      30     000
8       16      8      000
8       17      16     000
8       18      24     000
8       19      2      000
8       20      10     000
8       21      18     000
8       22      26     000
8       23      4      000
8       24      12     000
8       25      20     000
8       26      28     000
8       27      6      000
8       28      14     000
8       29      22     000
8       30      0      000
8       30      30     000

#z      #x      #y     000
9       0       0      000
9       1       9      000
9       2       18     000
9       3       27     000
9       4       6      000
9       5       15     000
9       6       24     000
9       7       3      000
9       8       12     000
9       9       21     000
9       10      0      000
9       10      30     000
9       11      9      000
9       12      18     000
9       13      27     000
9       14      6      000
9       15      15     000
9       16      24     000
9       17      3      000
9       18      12     000
9       19      21     000
9       20      0      000
9       20      30     000
9       21      9      000
9       22      18     000
9       23      27     000
9       24      6      000
9       25      15     000
9       26      24     000
9       27      3      000
9       28      12     000
9       29      21     000
9       30      0      000
9       30      30     000

#z      #x      #y     000
10      0       0      000
10      1       10     000
10      2       20     000
10      3       0      000
10      3       30     000
10      4       10     000
10      5       20     000
10      6       0      000
10      6       30     000
10      7       10     000
10      8       20     000
10      9       0      000
10      9       30     000
10      10      10     000
10      11      20     000
10      12      0      000
10      12      30     000
10      13      10     000
10      14      20     000
10      15      0      000
10      15      30     000
10      16      10     000
10      17      20     000
10      18      0      000
10      18      30     000
10      19      10     000
10      20      20     000
10      21      0      000
10      21      30     000
10      22      10     000
10      23      20     000
10      24      0      000
10      24      30     000
10      25      10     000
10      26      20     000
10      27      0      000
10      27      30     000
10      28      10     000
10      29      20     000
10      30      0      000
10      30      30     000

#z      #x      #y     000
12      0       0      000
12      1       12     000
12      2       24     000
12      3       6      000
12      4       18     000
12      5       00     000
12      5       30     000
12      6       12     000
12      7       24     000
12      8       6      000
12      9       18     000
12      10      00     000
12      10      30     000
12      11      12     000
12      12      24     000
12      13      6      000
12      14      18     000
12      15      00     000
12      15      30     000
12      16      12     000
12      17      24     000
12      18      6      000
12      19      18     000
12      20      00     000
12      20      30     000
12      21      12     000
12      22      24     000
12      23      6      000
12      24      18     000
12      25      00     000
12      25      30     000
12      26      12     000
12      27      24     000
12      28      6      000
12      29      18     000
12      30      00     000
12      30      30     000

#z      #x      #y     000
14      0       0      000
14      1       14     000
14      2       28     000
14      3       12     000
14      4       26     000
14      5       10     000
14      6       24     000
14      7       8      000
14      8       22     000
14      9       6      000
14      10      20     000
14      11      4      000
14      12      18     000
14      13      2      000
14      14      16     000
14      15      00     000
14      15      30     000
14      16      14     000
14      17      28     000
14      18      12     000
14      19      26     000
14      20      10     000
14      21      24     000
14      22      8      000
14      23      22     000
14      24      6      000
14      25      20     000
14      26      4      000
14      27      18     000
14      28      2      000
14      29      16     000
14      30      00     000
14      30      30     000

#z      #x      #y     000
15      0       0      000
15      1       15     000
15      2       00     000
15      2       30     000
15      3       15     000
15      4       00     000
15      4       30     000
15      5       15     000
15      6       00     000
15      6       30     000
15      7       15     000
15      8       00     000
15      8       30     000
15      9       15     000
15      10      00     000
15      10      30     000
15      11      15     000
15      12      00     000
15      12      30     000
15      13      15     000
15      14      00     000
15      14      30     000
15      15      15     000
15      16      00     000
15      16      30     000
15      17      15     000
15      18      00     000
15      18      30     000
15      19      15     000
15      20      00     000
15      20      30     000
15      21      15     000
15      22      00     000
15      22      30     000
15      23      15     000
15      24      00     000
15      24      30     000
15      25      15     000
15      26      00     000
15      26      30     000
15      27      15     000
15      28      00     000
15      28      30     000
15      29      15     000
15      30      00     000
15      30      30     000

#z      #x      #y     000
16      0       0      000
16      1       16     000
16      2       2      000
16      3       18     000
16      4       4      000
16      5       20     000
16      6       6      000
16      7       22     000
16      8       8      000
16      9       24     000
16      10      10     000
16      11      26     000
16      12      12     000
16      13      28     000
16      14      14     000
16      15      00     000
16      15      30     000
16      16      16     000
16      17      2      000
16      18      18     000
16      19      4      000
16      20      20     000
16      21      6      000
16      22      22     000
16      23      8      000
16      24      24     000
16      25      10     000
16      26      26     000
16      27      12     000
16      28      28     000
16      29      14     000
16      30      00     000
16      30      30     000

#z      #x      #y     000
18      0       0      000
18      1       18     000
18      2       6      000
18      3       24     000
18      4       12     000
18      5       00     000
18      5       30     000
18      6       18     000
18      7       6      000
18      8       24     000
18      9       12     000
18      10      00     000
18      10      30     000
18      11      18     000
18      12      6      000
18      13      24     000
18      14      12     000
18      15      00     000
18      15      30     000
18      16      18     000
18      17      6      000
18      18      24     000
18      19      12     000
18      20      00     000
18      20      30     000
18      21      18     000
18      22      6      000
18      23      24     000
18      24      12     000
18      25      00     000
18      25      30     000
18      26      18     000
18      27      6      000
18      28      24     000
18      29      12     000
18      30      00     000
18      30      30     000

#z      #x      #y     000
20      0       0      000
20      1       20     000
20      2       10     000
20      3       00     000
20      3       30     000
20      4       20     000
20      5       10     000
20      6       00     000
20      6       30     000
20      7       20     000
20      8       10     000
20      9       00     000
20      9       30     000
20      10      20     000
20      11      10     000
20      12      00     000
20      12      30     000
20      13      20     000
20      14      10     000
20      15      00     000
20      15      30     000
20      16      20     000
20      17      10     000
20      18      00     000
20      18      30     000
20      19      20     000
20      20      10     000
20      21      00     000
20      21      30     000
20      22      20     000
20      23      10     000
20      24      00     000
20      24      30     000
20      25      20     000
20      26      10     000
20      27      00     000
20      27      30     000
20      28      20     000
20      29      10     000
20      30      00     000
20      30      30     000

#z      #x      #y     000
21      0       0      000
21      1       21     000
21      2       12     000
21      3       3      000
21      4       24     000
21      5       15     000
21      6       6      000
21      7       27     000
21      8       18     000
21      9       9      000
21      10      00     000
21      10      30     000
21      11      21     000
21      12      12     000
21      13      3      000
21      14      24     000
21      15      15     000
21      16      6      000
21      17      27     000
21      18      18     000
21      19      9      000
21      20      00     000
21      20      30     000
21      21      21     000
21      22      12     000
21      23      3      000
21      24      24     000
21      25      15     000
21      26      6      000
21      27      27     000
21      28      18     000
21      29      9      000
21      30      00     000
21      30      30     000

#z      #x      #y     000
22      0       0      000
22      1       22     000
22      2       14     000
22      3       6      000
22      4       28     000
22      5       20     000
22      6       12     000
22      7       4      000
22      8       26     000
22      9       18     000
22      10      10     000
22      11      2      000
22      12      24     000
22      13      16     000
22      14      8      000
22      15      00     000
22      15      30     000
22      16      22     000
22      17      14     000
22      18      6      000
22      19      28     000
22      20      20     000
22      21      12     000
22      22      4      000
22      23      26     000
22      24      18     000
22      25      10     000
22      26      2      000
22      27      24     000
22      28      16     000
22      29      8      000
22      30      00     000
22      30      30     000

#z      #x      #y     000
24      0       0      000
24      1       24     000
24      2       18     000
24      3       12     000
24      4       6      000
24      5       00     000
24      5       30     000
24      6       24     000
24      7       18     000
24      8       12     000
24      9       6      000
24      10      00     000
24      10      30     000
24      11      24     000
24      12      18     000
24      13      12     000
24      14      6      000
24      15      00     000
24      15      30     000
24      16      24     000
24      17      18     000
24      18      12     000
24      19      6      000
24      20      00     000
24      20      30     000
24      21      24     000
24      22      18     000
24      23      12     000
24      24      6      000
24      25      00     000
24      25      30     000
24      26      24     000
24      27      18     000
24      28      12     000
24      29      6      000
24      30      00     000
24      30      30     000

#z      #x      #y     000
25      0       0      000
25      1       25     000
25      2       20     000
25      3       15     000
25      4       10     000
25      5       5      000
25      6       00     000
25      6       30     000
25      7       25     000
25      8       20     000
25      9       15     000
25      10      10     000
25      11      5      000
25      12      00     000
25      12      30     000
25      13      25     000
25      14      20     000
25      15      15     000
25      16      10     000
25      17      5      000
25      18      00     000
25      18      30     000
25      19      25     000
25      20      20     000
25      21      15     000
25      22      10     000
25      23      5      000
25      24      00     000
25      24      30     000
25      25      25     000
25      26      20     000
25      27      15     000
25      28      10     000
25      29      5      000
25      30      00     000
25      30      30     000

#z      #x      #y     000
26      0       0      000
26      1       26     000
26      2       22     000
26      3       18     000
26      4       14     000
26      5       10     000
26      6       6      000
26      7       2      000
26      8       28     000
26      9       24     000
26      10      20     000
26      11      16     000
26      12      12     000
26      13      8      000
26      14      4      000
26      15      00     000
26      15      30     000
26      16      26     000
26      17      22     000
26      18      18     000
26      19      14     000
26      20      10     000
26      21      6      000
26      22      2      000
26      23      28     000
26      24      24     000
26      25      20     000
26      26      16     000
26      27      12     000
26      28      8      000
26      29      4      000
26      30      00     000
26      30      30     000

#z      #x      #y     000
27      0       0      000
27      1       27     000
27      2       24     000
27      3       21     000
27      4       18     000
27      5       15     000
27      6       12     000
27      7       9      000
27      8       6      000
27      9       3      000
27      10      00     000
27      10      30     000
27      11      27     000
27      12      24     000
27      13      21     000
27      14      18     000
27      15      15     000
27      16      12     000
27      17      9      000
27      18      6      000
27      19      3      000
27      20      00     000
27      20      30     000
27      21      27     000
27      22      24     000
27      23      21     000
27      24      18     000
27      25      15     000
27      26      12     000
27      27      9      000
27      28      6      000
27      29      3      000
27      30      00     000
27      30      30     000

#z      #x      #y     000
28      0       0      000
28      1       28     000
28      2       26     000
28      3       24     000
28      4       22     000
28      5       20     000
28      6       18     000
28      7       16     000
28      8       14     000
28      9       12     000
28      10      10     000
28      11      8      000
28      12      6      000
28      13      4      000
28      14      2      000
28      15      00     000
28      15      30     000
28      16      28     000
28      17      26     000
28      18      24     000
28      19      22     000
28      20      20     000
28      21      18     000
28      22      16     000
28      23      14     000
28      24      12     000
28      25      10     000
28      26      8      000
28      27      6      000
28      28      4      000
28      29      2      000
28      30      00     000
28      30      30     000

#z      #x      #y     000
30       0      00     000
30       1      00     000
30       1      30     000
30       2      00     000
30       2      30     000
30       3      00     000
30       3      30     000
30       4      00     000
30       4      30     000
30       5      00     000
30       5      30     000
30       6      00     000
30       6      30     000
30       7      00     000
30       7      30     000
30       8      00     000
30       8      30     000
30       9      00     000
30       9      30     000
30      10      00     000
30      10      30     000
30      11      00     000
30      11      30     000
30      12      00     000
30      12      30     000
30      13      00     000
30      13      30     000
30      14      00     000
30      14      30     000
30      15      00     000
30      15      30     000
30      16      00     000
30      16      30     000
30      17      00     000
30      17      30     000
30      18      00     000
30      18      30     000
30      19      00     000
30      19      30     000
30      20      00     000
30      20      30     000
30      21      00     000
30      21      30     000
30      22      00     000
30      22      30     000
30      23      00     000
30      23      30     000
30      24      00     000
30      24      30     000
30      25      00     000
30      25      30     000
30      26      00     000
30      26      30     000
30      27      00     000
30      27      30     000
30      28      00     000
30      28      30     000
30      29      00     000
30      29      30     000
30      30      00     000
30      30      30     000



#here2
#z2      #x2     #z2   #c2
0       30      30     000
0       31      30     000
0       32      30     000
0       33      30     000
0       34      30     000
0       35      30     000
0       36      30     000
0       37      30     000
0       38      30     000
0       39      30     000
0       40      30     000
0       41      30     000
0       42      30     000
0       43      30     000
0       44      30     000
0       45      30     000
0       46      30     000
0       47      30     000
0       48      30     000
0       49      30     000
0       50      30     000
0       51      30     000
0       52      30     000
0       53      30     000
0       54      30     000
0       55      30     000
0       56      30     000
0       57      30     000
0       58      30     000
0       59      30     000
0       60      30     000
#z2      #x2     #z2   #c2
1       30      30     1
1       31      31     1
1       32      32     1
1       33      33     1
1       34      34     1
1       35      35     1
1       36      36     1
1       37      37     1
1       38      38     1
1       39      39     1
1       40      40     1
1       41      41     1
1       42      42     1
1       43      43     1
1       44      44     1
1       45      45     1
1       46      46     1
1       47      47     1
1       48      48     1
1       49      49     1
1       50      50     1
1       51      51     1
1       52      52     1
1       53      53     1
1       54      54     1
1       55      55     1
1       56      56     1
1       57      57     1
1       58      58     1
1       59      59     1
1       60      30     1
1       60      60     1
#z2      #x2     #z2   #c2
2       30      30     000
2       31      32     000
2       32      34     000
2       33      36     000
2       34      38     000
2       35      40     000
2       36      42     000
2       37      44     000
2       38      46     000
2       39      48     000
2       40      50     000
2       41      52     000
2       42      54     000
2       43      56     000
2       44      58     000
2       45      30     000
2       45      60     000
2       46      32     000
2       47      34     000
2       48      36     000
2       49      38     000
2       50      40     000
2       51      42     000
2       52      44     000
2       53      46     000
2       54      48     000
2       55      50     000
2       56      52     000
2       57      54     000
2       58      56     000
2       59      58     000
2       60      30     000
2       60      60     000
#z2      #x2     #z2   #c2
3       30      30     000
3       31      33     000
3       32      36     000
3       33      39     000
3       34      42     000
3       35      45     000
3       36      48     000
3       37      51     000
3       38      54     000
3       39      57     000
3       40      30     000
3       40      60     000
3       41      33     000
3       42      36     000
3       43      39     000
3       44      42     000
3       45      45     000
3       46      48     000
3       47      51     000
3       48      54     000
3       49      57     000
3       50      30     000
3       50      60     000
3       51      33     000
3       52      36     000
3       53      39     000
3       54      42     000
3       55      45     000
3       56      48     000
3       57      51     000
3       58      54     000
3       59      57     000
3       60      30     000
3       60      60     000
#z2      #x2     #z2   #c2
4       30      30     000
4       31      34     000
4       32      38     000
4       33      42     000
4       34      46     000
4       35      50     000
4       36      54     000
4       37      58     000
4       38      32     000
4       39      36     000
4       40      40     000
4       41      44     000
4       42      48     000
4       43      52     000
4       44      56     000
4       45      30     000
4       45      60     000
4       46      34     000
4       47      38     000
4       48      42     000
4       49      46     000
4       50      50     000
4       51      54     000
4       52      58     000
4       53      32     000
4       54      36     000
4       55      40     000
4       56      44     000
4       57      48     000
4       58      52     000
4       59      56     000
4       60      30     000
4       60      60     000
#z2      #x2     #z2   #c2
5       30      30     000
5       31      35     000
5       32      40     000
5       33      45     000
5       34      50     000
5       35      55     000
5       36      30     000
5       36      60     000
5       37      30     000
5       38      35     000
5       39      40     000
5       40      45     000
5       41      50     000
5       42      55     000
5       43      30     000
5       43      60     000
5       44      30     000
5       45      35     000
5       46      40     000
5       47      45     000
5       48      50     000
5       49      55     000
5       50      30     000
5       50      60     000
5       51      30     000
5       52      35     000
5       53      40     000
5       54      45     000
5       55      50     000
5       56      55     000
5       57      30     000
5       57      60     000
5       58      30     000
5       59      35     000
5       60      30     000
5       60      40     000
#z2      #x2     #z2   #c2
6       30      30     000
6       31      36     000
6       32      42     000
6       33      48     000
6       34      54     000
6       35      30     000
6       35      60     000
6       36      36     000
6       37      42     000
6       38      48     000
6       39      54     000
6       40      60     000
6       41      36     000
6       42      42     000
6       43      48     000
6       44      54     000
6       45      30     000
6       45      60     000
6       46      36     000
6       47      42     000
6       48      48     000
6       49      54     000
6       50      30     000
6       50      60     000
6       51      36     000
6       52      42     000
6       53      48     000
6       54      54     000
6       55      30     000
6       55      60     000
6       56      36     000
6       57      42     000
6       58      48     000
6       59      54     000
6       60      30     000
6       60      60     000
#z2      #x2     #z2   #c2
7       30      30     1
7       31      37     1
7       32      44     1
7       33      51     1
7       34      58     1
7       35      35     1
7       36      42     1
7       37      49     1
7       38      56     1
7       39      33     1
7       40      40     1
7       41      47     1
7       42      54     1
7       43      31     1
7       44      38     1
7       45      45     1
7       46      52     1
7       47      59     1
7       48      36     1
7       49      43     1
7       50      50     1
7       51      57     1
7       52      34     1
7       53      41     1
7       54      48     1
7       55      55     1
7       56      32     1
7       57      39     1
7       58      46     1
7       59      53     1
7       60      30     1
7       60      60     1
#z2      #x2     #z2   #c2
8       30      30     000
8       31      38     000
8       32      46     000
8       33      54     000
8       34      32     000
8       35      40     000
8       36      48     000
8       37      56     000
8       38      34     000
8       39      42     000
8       40      50     000
8       41      58     000
8       42      36     000
8       43      44     000
8       44      52     000
8       45      30     000
8       45      60     000
8       46      38     000
8       47      46     000
8       48      54     000
8       49      32     000
8       50      40     000
8       51      48     000
8       52      56     000
8       53      34     000
8       54      42     000
8       55      50     000
8       56      58     000
8       57      36     000
8       58      44     000
8       59      52     000
8       60      30     000
8       60      60     000
#z2      #x2     #z2   #c2
9       30      30     000
9       31      39     000
9       32      48     000
9       33      57     000
9       34      36     000
9       35      45     000
9       36      54     000
9       37      33     000
9       38      42     000
9       39      51     000
9       40      30     000
9       40      60     000
9       41      39     000
9       42      48     000
9       43      57     000
9       44      36     000
9       45      45     000
9       46      54     000
9       47      33     000
9       48      42     000
9       49      51     000
9       50      30     000
9       50      60     000
9       51      39     000
9       52      48     000
9       53      57     000
9       54      36     000
9       55      45     000
9       56      54     000
9       57      33     000
9       58      42     000
9       59      51     000
9       60      30     000
9       60      60     000
#z2      #x2     #z2   #c2
10      30      30     000
10      31      40     000
10      32      50     000
10      33      30     000
10      33      60     000
10      34      40     000
10      35      50     000
10      36      30     000
10      36      60     000
10      37      40     000
10      38      50     000
10      39      30     000
10      39      60     000
10      40      40     000
10      41      50     000
10      42      30     000
10      42      60     000
10      43      40     000
10      44      50     000
10      45      30     000
10      45      60     000
10      46      40     000
10      47      50     000
10      48      30     000
10      48      60     000
10      49      40     000
10      50      50     000
10      51      30     000
10      51      60     000
10      52      40     000
10      53      50     000
10      54      30     000
10      54      60     000
10      55      40     000
10      56      50     000
10      57      30     000
10      57      60     000
10      58      40     000
10      59      50     000
10      60      30     000
10      60      60     000
#z2      #x2     #z2   #c2
11      30      30     1
11      31      41     1
11      32      52     1
11      33      33     1
11      34      44     1
11      35      55     1
11      36      36     1
11      37      47     1
11      38      58     1
11      39      39     1
11      40      50     1
11      41      31     1
11      42      42     1
11      43      53     1
11      44      34     1
11      45      45     1
11      46      56     1
11      47      37     1
11      48      48     1
11      49      59     1
11      50      40     1
11      51      51     1
11      52      32     1
11      53      43     1
11      54      54     1
11      55      35     1
11      56      46     1
11      57      57     1
11      58      38     1
11      59      49     1
11      60      30     1
11      60      60     1
#z2      #x2     #z2   #c2
