##here1
##z      #x      #y     000
 21      11      21     000
 21      12      12     000
 21      13      3      000
 21      14      24     000
 21      15      15     000
 21      16      6      000
 21      17      27     000
 21      18      18     000
 21      19      9      000
 21      20      00     000
 21      20      30     000
 21      21      21     000
 21      22      12     000
 21      23      3      000
 21      24      24     000
 21      25      15     000
 21      26      6      000
 21      27      27     000
 21      28      18     000
 21      29      9      000
 21      30      00     000
 21      30      30     000
#
##z      #x      #y     000
 22      0       0      000
 22      1       22     000
 22      2       14     000
 22      3       6      000
 22      4       28     000
 22      5       20     000
 22      6       12     000
 22      7       4      000
 22      8       26     000
 22      9       18     000
 22      10      10     000
 22      11      2      000
 22      12      24     000
 22      13      16     000
 22      14      8      000
 22      15      00     000
 22      15      30     000
 22      16      22     000
 22      17      14     000
 22      18      6      000
 22      19      28     000
 22      20      20     000
 22      21      12     000
 22      22      4      000
 22      23      26     000
 22      24      18     000
 22      25      10     000
 22      26      2      000
 22      27      24     000
 22      28      16     000
 22      29      8      000
 22      30      00     000
 22      30      30     000
#
##z      #x      #y     000
 24      0       0      000
 24      1       24     000
 24      2       18     000
 24      3       12     000
 24      4       6      000
 24      5       00     000
 24      5       30     000
 24      6       24     000
 24      7       18     000
 24      8       12     000
 24      9       6      000
 24      10      00     000
 24      10      30     000
 24      11      24     000
 24      12      18     000
 24      13      12     000
 24      14      6      000
 24      15      00     000
 24      15      30     000
 24      16      24     000
 24      17      18     000
 24      18      12     000
 24      19      6      000
 24      20      00     000
 24      20      30     000
 24      21      24     000
 24      22      18     000
 24      23      12     000
 24      24      6      000
 24      25      00     000
 24      25      30     000
 24      26      24     000
 24      27      18     000
 24      28      12     000
 24      29      6      000
 24      30      00     000
 24      30      30     000
#
##z      #x      #y     000
25      0       0      000
25      0       30     000
25      1       25     000
25      2       20     000
25      3       15     000
25      4       10     000
25      5       5      000
25      5       0      000
25      6       00     000
25      6       30     000
25      7       25     000
25      8       20     000
25      9       15     000
25      10      10     000
25      11      5      000
25      12      00     000
25      12      30     000
25      13      25     000
25      14      20     000
25      15      15     000
25      16      10     000
25      17      5      000
25      18      00     000
25      18      30     000
25      19      25     000
25      20      20     000
25      21      15     000
25      22      10     000
25      23      5      000
25      24      00     000
25      24      30     000
25      25      25     000
25      26      20     000
25      27      15     000
25      28      10     000
25      29      5      000
25      30      00     000
#
##z      #x      #y     000
 26      0       0      000
 26      1       26     000
 26      2       22     000
 26      3       18     000
 26      4       14     000
 26      5       10     000
 26      6       6      000
 26      7       2      000
 26      8       28     000
 26      9       24     000
 26      10      20     000
 26      11      16     000
 26      12      12     000
 26      13      8      000
 26      14      4      000
 26      15      00     000
 26      15      30     000
 26      16      26     000
 26      17      22     000
 26      18      18     000
 26      19      14     000
 26      20      10     000
 26      21      6      000
 26      22      2      000
 26      23      28     000
 26      24      24     000
 26      25      20     000
 26      26      16     000
 26      27      12     000
 26      28      8      000
 26      29      4      000
 26      30      00     000
 26      30      30     000
#
##z      #x      #y     000
 27      0       0      000
 27      1       27     000
 27      2       24     000
 27      3       21     000
 27      4       18     000
 27      5       15     000
 27      6       12     000
 27      7       9      000
 27      8       6      000
 27      9       3      000
 27      10      00     000
 27      10      30     000
 27      11      27     000
 27      12      24     000
 27      13      21     000
 27      14      18     000
 27      15      15     000
 27      16      12     000
 27      17      9      000
 27      18      6      000
 27      19      3      000
 27      20      00     000
 27      20      30     000
 27      21      27     000
 27      22      24     000
 27      23      21     000
 27      24      18     000
 27      25      15     000
 27      26      12     000
 27      27      9      000
 27      28      6      000
 27      29      3      000
 27      30      00     000
 27      30      30     000
#
##z      #x      #y     000
 28      0       0      000
 28      1       28     000
 28      2       26     000
 28      3       24     000
 28      4       22     000
 28      5       20     000
 28      6       18     000
 28      7       16     000
 28      8       14     000
 28      9       12     000
 28      10      10     000
 28      11      8      000
 28      12      6      000
 28      13      4      000
 28      14      2      000
 28      15      00     000
 28      15      30     000
 28      16      28     000
 28      17      26     000
 28      18      24     000
 28      19      22     000
 28      20      20     000
 28      21      18     000
 28      22      16     000
 28      23      14     000
 28      24      12     000
 28      25      10     000
 28      26      8      000
 28      27      6      000
 28      28      4      000
 28      29      2      000
 28      30      00     000
 28      30      30     000
#
##z      #x      #y     000
 30       0      00     000
 30       1      00     000
 30       1      30     000
 30       2      00     000
 30       2      30     000
 30       3      00     000
 30       3      30     000
 30       4      00     000
 30       4      30     000
 30       5      00     000
 30       5      30     000
 30       6      00     000
 30       6      30     000
 30       7      00     000
 30       7      30     000
 30       8      00     000
 30       8      30     000
 30       9      00     000
 30       9      30     000
 30      10      00     000
 30      10      30     000
 30      11      00     000
 30      11      30     000
 30      12      00     000
 30      12      30     000
 30      13      00     000
 30      13      30     000
 30      14      00     000
 30      14      30     000
 30      15      00     000
 30      15      30     000
 30      16      00     000
 30      16      30     000
 30      17      00     000
 30      17      30     000
 30      18      00     000
 30      18      30     000
 30      19      00     000
 30      19      30     000
 30      20      00     000
 30      20      30     000
 30      21      00     000
 30      21      30     000
 30      22      00     000
 30      22      30     000
 30      23      00     000
 30      23      30     000
 30      24      00     000
 30      24      30     000
 30      25      00     000
 30      25      30     000
 30      26      00     000
 30      26      30     000
 30      27      00     000
 30      27      30     000
 30      28      00     000
 30      28      30     000
 30      29      00     000
 30      29      30     000
 30      30      00     000
 30      30      30     000
#
#
#



##here2
##z2      #x2     #z2   #c2
 0        0      30     000
 0        1      30     000
 0        2      30     000
 0        3      30     000
 0        4      30     000
 0        5      30     000
 0        6      30     000
 0        7      30     000
 0        8      30     000
 0        9      30     000
 0       10      30     000
 0       11      30     000
 0       12      30     000
 0       13      30     000
 0       14      30     000
 0       15      30     000
 0       16      30     000
 0       17      30     000
 0       18      30     000
 0       19      30     000
 0       20      30     000
 0       21      30     000
 0       22      30     000
 0       23      30     000
 0       24      30     000
 0       25      30     000
 0       26      30     000
 0       27      30     000
 0       28      30     000
 0       29      30     000
 0       30      30     000
 0       31      30     000
 0       32      30     000
 0       33      30     000
 0       34      30     000
 0       35      30     000
 0       36      30     000
 0       37      30     000
 0       38      30     000
 0       39      30     000
 0       40      30     000
 0       41      30     000
 0       42      30     000
 0       43      30     000
 0       44      30     000
 0       45      30     000
 0       46      30     000
 0       47      30     000
 0       48      30     000
 0       49      30     000
 0       50      30     000
 0       51      30     000
 0       52      30     000
 0       53      30     000
 0       54      30     000
 0       55      30     000
 0       56      30     000
 0       57      30     000
 0       58      30     000
 0       59      30     000
 0       60      30     000
 0       30      60     000
 0       31      60     000
 0       32      60     000
 0       33      60     000
 0       34      60     000
 0       35      60     000
 0       36      60     000
 0       37      60     000
 0       38      60     000
 0       39      60     000
 0       40      60     000
 0       41      60     000
 0       42      60     000
 0       43      60     000
 0       44      60     000
 0       45      60     000
 0       46      60     000
 0       47      60     000
 0       48      60     000
 0       49      60     000
 0       50      60     000
 0       51      60     000
 0       52      60     000
 0       53      60     000
 0       54      60     000
 0       55      60     000
 0       56      60     000
 0       57      60     000
 0       58      60     000
 0       59      60     000
 0       60      60     000
##z2      #x2     #z2   #c2
##1      30      30     1
##1      31      31     1
##1      32      32     1
