#x      #y      #z      #c      #comment Prime
15      74      0       0       #
15      75      15      0       #
15      76      0       0       #
15      77      15      0       #
15      78      0       0       #
15      79      15      0       #P
15      80      0       0       #
15      81      15      0       #
15      82      0       0       #
15      83      15      0       #P
15      84      0       0       #
15      85      15      0       #
15      86      0       0       #
15      87      15      0       #
15      88      0       0       #
15      89      15      0       #P
#x      #y      #z      #c      #comment Prime
16      00      00      0       #
16      01      16      0       #P
16      02      02      0       #P
16      03      18      0       #P
16      04      04      0       #
16      05      20      0       #P
16      06      06      0       #
16      07      22      0       #P
16      08      08      0       #
16      09      24      0       #
16      10      10      0       #
16      11      26      0       #P
16      12      12      0       #
16      13      28      0       #P
16      14      14      0       #
16      15      0       0       #
16      16      16      0       #
16      17      02      0       #P
16      18      18      0       #
16      19      04      0       #P
16      20      20      0       #
16      21      06      0       #
16      22      22      0       #
16      23      08      0       #P
16      24      24      0       #
16      25      10      0       #
16      26      26      0       #
16      27      12      0       #P
16      28      28      0       #
16      29      14      0       #P
#x      #y      #z      #c      #comment Prime
16      30      00      0       0
16      31      16      0       #P
16      32      02      0       #
16      33      18      0       #
16      34      04      0       #
16      35      20      0       #
16      36      06      0       #
16      37      22      0       #P
16      38      08      0       #
16      39      24      0       #
16      40      10      0       #
16      41      26      0       #P
16      42      12      0       #
16      43      28      0       #P
16      44      14      0       #
16      45      0       0       #
16      46      16      0       #
16      47      02      0       #P
16      48      18      0       #
16      49      04      0       #
16      50      20      0       #
16      51      06      0       #
16      52      22      0       #
16      53      08      0       #P
16      54      24      0       #
16      55      10      0       #
16      56      26      0       #
16      57      12      0       #
16      58      28      0       #
16      59      14      0       #P
#x      #y      #z      #c      #comment Prime
16      60      0       0       #
16      61      16      0       #P
16      62      02      0       #
16      63      18      0       #
16      64      04      0       #
16      65      20      0       #
16      66      06      0       #
16      67      22      0       #P
16      68      08      0       #
16      69      24      0       #
16      70      10      0       #
16      71      26      0       #P
16      72      12      0       #
16      73      28      0       #
16      74      14      0       #
16      75      0       0       #
16      76      16      0       #
16      77      02      0       #
16      78      18      0       #
16      79      04      0       #P
16      80      20      0       #
16      81      06      0       #
16      82      22      0       #
16      83      08      0       #P
16      84      24      0       #
16      85      10      0       #
16      86      26      0       #
16      87      12      0       #
16      88      28      0       #
16      89      14      0       #P
