#x,y,z,prime,color
x,y,z,prime,pcolor
01,01,11115,333451,BLUE
01,01,11121,333631,BLUE
01,01,11123,333691,BLUE
01,01,11124,333721,BLUE
01,01,11129,333871,BLUE
01,01,1113,33391,BLUE
01,01,11134,334021,BLUE
01,01,11139,334171,BLUE
01,01,11141,334231,BLUE
01,01,11142,334261,BLUE
01,01,11152,334561,BLUE
01,01,11155,334651,BLUE
01,01,11156,334681,BLUE
01,01,11159,334771,BLUE
01,01,11162,334861,BLUE
01,01,11163,334891,BLUE
01,01,11171,335131,BLUE
01,01,11172,335161,BLUE
01,01,11174,335221,BLUE
01,01,11176,335281,BLUE
01,01,11178,335341,BLUE
01,01,11188,335641,BLUE
01,01,11194,335821,BLUE
01,01,11198,335941,BLUE
01,01,112,3361,BLUE
01,01,1120,33601,BLUE
01,01,11201,336031,BLUE
01,01,11204,336121,BLUE
01,01,11205,336151,BLUE
01,01,11206,336181,BLUE
01,01,11207,336211,BLUE
01,01,11212,336361,BLUE
01,01,11219,336571,BLUE
01,01,11221,336631,BLUE
01,01,11229,336871,BLUE
01,01,11230,336901,BLUE
01,01,11232,336961,BLUE
01,01,11234,337021,BLUE
01,01,11236,337081,BLUE
01,01,1124,33721,BLUE
01,01,11240,337201,BLUE
01,01,11242,337261,BLUE
01,01,11243,337291,BLUE
01,01,11247,337411,BLUE
01,01,1125,33751,BLUE
01,01,11255,337651,BLUE
01,01,11256,337681,BLUE
01,01,11258,337741,BLUE
01,01,11262,337861,BLUE
01,01,11263,337891,BLUE
01,01,1127,33811,BLUE
01,01,11272,338161,BLUE
01,01,11275,338251,BLUE
01,01,11278,338341,BLUE
01,01,11281,338431,BLUE
01,01,11282,338461,BLUE
01,01,11286,338581,BLUE
01,01,1129,33871,BLUE
01,01,11291,338731,BLUE
01,01,11292,338761,BLUE
01,01,11293,338791,BLUE
01,01,11295,338851,BLUE
01,01,113,3391,BLUE
01,01,11303,339091,BLUE
01,01,11304,339121,BLUE
01,01,11305,339151,BLUE
01,01,11307,339211,BLUE
01,01,1131,33931,BLUE
01,01,11311,339331,BLUE
01,01,1132,33961,BLUE
01,01,11320,339601,BLUE
01,01,11321,339631,BLUE
01,01,11325,339751,BLUE
01,01,11327,339811,BLUE
01,01,11328,339841,BLUE
01,01,11333,339991,BLUE
01,01,11337,340111,BLUE
01,01,11340,340201,BLUE
01,01,11342,340261,BLUE
01,01,11344,340321,BLUE
01,01,11346,340381,BLUE
01,01,11353,340591,BLUE
01,01,11360,340801,BLUE
01,01,11368,341041,BLUE
01,01,11373,341191,BLUE
01,01,11376,341281,BLUE
01,01,11377,341311,BLUE
01,01,1138,34141,BLUE
01,01,11382,341461,BLUE
01,01,11383,341491,BLUE
01,01,11384,341521,BLUE
01,01,11388,341641,BLUE
01,01,1139,34171,BLUE
01,01,11390,341701,BLUE
01,01,11394,341821,BLUE
01,01,11395,341851,BLUE
01,01,11397,341911,BLUE
01,01,11402,342061,BLUE
01,01,11407,342211,BLUE
01,01,11408,342241,BLUE
01,01,1141,34231,BLUE
01,01,11414,342421,BLUE
01,01,11415,342451,BLUE
01,01,11416,342481,BLUE
01,01,1142,34261,BLUE
01,01,11423,342691,BLUE
01,01,11428,342841,BLUE
01,01,11429,342871,BLUE
01,01,11435,343051,BLUE
01,01,11436,343081,BLUE
01,01,11438,343141,BLUE
01,01,11442,343261,BLUE
01,01,11446,343381,BLUE
01,01,11447,343411,BLUE
01,01,1145,34351,BLUE
01,01,11451,343531,BLUE
01,01,11452,343561,BLUE
01,01,11453,343591,BLUE
01,01,11459,343771,BLUE
01,01,1146,34381,BLUE
01,01,11460,343801,BLUE
01,01,11461,343831,BLUE
01,01,11463,343891,BLUE
01,01,11465,343951,BLUE
01,01,11472,344161,BLUE
01,01,11474,344221,BLUE
01,01,11475,344251,BLUE
01,01,11479,344371,BLUE
01,01,11487,344611,BLUE
01,01,11489,344671,BLUE
01,01,1149,34471,BLUE
01,01,11493,344791,BLUE
01,01,11494,344821,BLUE
01,01,11498,344941,BLUE
01,01,1150,34501,BLUE
01,01,11500,345001,BLUE
01,01,11506,345181,BLUE
01,01,11509,345271,BLUE
01,01,11515,345451,BLUE
01,01,11517,345511,BLUE
01,01,11519,345571,BLUE
01,01,11520,345601,BLUE
01,01,11527,345811,BLUE
01,01,1153,34591,BLUE
01,01,11535,346051,BLUE
01,01,11537,346111,BLUE
01,01,11538,346141,BLUE
01,01,11540,346201,BLUE
01,01,11542,346261,BLUE
01,01,11544,346321,BLUE
